"YEAR","SYST","ST","LOC","GEN","DTF","PHT","LOD","LBL","PBL","BSP","LSC","GDS","T2M_MEAN","T2M_MAX","T2M_MIN","PRECTOT_ACC","RH2M_MEAN","T2MDEW","SOLAR_RAD","WS2M","NOISE_1","NOISE_2","NOISE_3","NOISE_4","NOISE_5","NOISE_6","NOISE_7","NOISE_8","NOISE_9","NOISE_10","NOISE_11","NOISE_12","NOISE_13","NOISE_14","NOISE_15","NOISE_16","NOISE_17","NOISE_18","NOISE_19","NOISE_20","NOISE_21","NOISE_22","NOISE_23","NOISE_24","NOISE_25","NOISE_26","NOISE_27","NOISE_28","NOISE_29","NOISE_30","NOISE_31","NOISE_32","NOISE_33","NOISE_34","NOISE_35","NOISE_36","NOISE_37","NOISE_38","NOISE_39","NOISE_40","GY"
2002,"S2","MT","LOC5","GEN14",66.6903935163282,97.959023816511,5,7,9,4,4,5,24.7438041064888,32.3994322260842,18.5898116128519,561.102434620261,61.2012316100299,21.0610794262029,22.4399723461829,5.27670864970423,1.71413145726547,1.60812837304547,4.24043104518205,9.08597644185647,8.98601199034601,9.11122067831457,3.33146433811635,0.452443165704608,8.9790164353326,6.27404856495559,0.739903303328902,3.82857198594138,8.3448380487971,7.94367291266099,8.43486522091553,0.635778566356748,6.78510136436671,6.90686446148902,3.58316775178537,9.82794685289264,0.592870751861483,2.98443890875205,9.41297641489655,0.183721934445202,2.69270434975624,8.14980261726305,0.31147479545325,3.97814160445705,8.85591896018013,8.82496737409383,7.64645060990006,6.76313769537956,3.77015872159973,3.90616829739884,8.26726977247745,0.334076904691756,5.42606280650944,8.48508762428537,5.88519575307146,1.36358371935785,3731.7470750966
1984,"S2","TO","LOC10","GEN2",108.158054728992,131.798147265799,8,6,4,8,3,2,24.0702618337236,33.8163735596463,15.932933001779,1024.21696502715,65.5767373787239,22.0429996643215,19.5166374742985,3.87895036512055,0.400601211003959,9.5944156171754,8.0398825975135,8.24970919406042,8.90660591423512,9.92437039734796,7.00558483600616,4.37344936421141,2.24314987426624,3.63813093630597,9.5114653906785,9.9857621290721,5.53715558024123,0.170391467399895,1.14026763942093,2.60234374087304,5.03548889188096,7.08361835684627,9.81178144924343,1.49202737491578,6.41458679689094,2.16345818014815,3.20958046708256,1.29429192049429,6.41616359353065,4.70110386610031,2.0834462181665,1.32689408725128,4.12204152205959,1.35941340588033,8.75966310268268,9.55260155024007,6.80892817908898,4.61960454471409,3.84116202360019,0.753199791070074,3.10048595070839,2.83785882173106,0.565021359361708,7.49516799347475,3873.90921453031
2012,"S2","RO","LOC8","GEN2",89.6648929128423,113.10537105659,8,3,2,2,2,3,24.7619185531512,32.0716226347722,17.8426613570191,769.669886678457,66.2302006990649,20.3543119179085,20.0986672681756,4.77617001300678,6.80219496833161,7.5637908349745,4.66512831393629,4.25913678715006,1.88512882217765,2.89906410034746,6.41697694081813,8.1504623638466,5.36688431166112,1.6549735609442,6.95758750662208,6.73728945432231,7.11574848042801,4.25056756706908,4.92187772877514,2.51144406152889,7.12598547106609,8.93573894398287,6.96954130660743,5.53533931728452,3.86171158635989,1.20353231905028,1.12875564023852,5.40038585895672,2.66003906261176,6.06433113571256,3.79102088278159,5.02782689407468,7.51581863500178,4.13884673500434,2.14044904569164,0.548617343883961,0.373462517745793,1.60514529328793,3.96222336683422,8.66831086575985,7.76715668383986,4.08806185238063,5.35447649890557,6.62247112952173,4288.78078308686
1996,"S2","MT","LOC4","GEN11",109.667849531397,106.499985600822,8,7,8,7,1,2,25.7810228988528,37.2680050965864,15.781307969708,506.567492336035,83.8338221074082,22.8041123244911,23.8459808984771,3.15160375460982,6.61149858729914,5.08888860465959,3.17300035618246,3.69030342902988,7.84948380896822,3.12549314228818,2.42386091500521,4.90677453344688,5.25982089806348,9.32298133615404,2.14791996637359,5.44201337266713,0.949907661415637,8.96786655299366,7.55692508770153,9.00184072321281,2.22598327789456,5.4648700566031,2.49993784585968,2.08690382307395,4.22970749204978,4.52739832457155,2.56874931277707,1.0976100480184,6.67707490501925,8.86055164039135,5.04824558040127,7.00439869659021,1.77145007997751,6.20207254309207,7.79840611154214,0.681346149649471,7.43535269983113,9.7792142489925,8.04820551536977,0.812687543220818,5.68186838878319,0.434590971563011,0.703288095537573,9.6185182989575,2684.12795487968
1995,"S2","GO","LOC3","GEN12",89.7570037655532,134.598412374035,5,2,6,2,4,2,24.0824584905058,35.6401217291132,14.7165474747308,406.736983731389,64.795475481078,21.6894876775332,18.4848738904111,5.99628993566148,1.74791264347732,8.70272343279794,9.83993062982336,5.04051345633343,6.86900302534923,9.23409515526146,9.8480561398901,8.27188630821183,3.45015267841518,3.30942122964188,7.32768015470356,0.961395734921098,7.42196683539078,6.80077307159081,5.52465789020061,4.78160354774445,9.05838327482343,3.82133079459891,3.31320601748303,6.07038275338709,7.88771003019065,7.51858726376668,8.3139190566726,2.24152351263911,0.792795012239367,7.83104250207543,2.99663639394566,1.99502752628177,6.4851364842616,7.39483979297802,4.11558927269652,4.70132111106068,7.92369566392154,9.12168316543102,5.31875723507255,5.21277898689732,0.922630717977881,6.79223773535341,8.33012910792604,3.51848289603367,3376.52017095373
1994,"S1","TO","LOC9","GEN22",68.0542888492346,120.963094960898,6,1,6,2,8,3,26.5433538029902,32.7094572519418,20.281064164592,683.142084442079,76.8088941299357,24.0329169014003,23.8413467258215,4.49819490220398,8.97046552272514,7.06612011650577,8.32996122539043,4.23990505281836,5.15187502605841,6.0391912329942,0.146023626439273,7.31982497265562,5.38743321085349,8.76168036600575,3.83002066286281,0.237742564640939,9.10540972370654,2.75233403313905,5.80372686963528,7.66936074243858,7.80253944918513,1.25496400287375,0.546676833182573,7.89776896126568,7.85620032809675,3.98480782285333,7.51647870289162,8.27383116818964,3.3353594574146,8.72525402577594,7.28183828759938,3.53535609319806,4.78564598830417,0.411930594127625,5.74322551023215,8.94798801513389,6.22390869772062,4.85342607600614,9.55207708990201,0.639173130039126,6.63259909488261,3.41666324995458,5.33450623275712,9.53316182596609,3642.22386473015
1996,"S1","GO","LOC2","GEN6",109.765453278087,84.862158880569,4,4,5,7,2,5,26.606759169139,32.5069439054932,19.1819119672291,857.957341708243,67.4649815890007,22.2148864516057,17.2884058766067,5.02367030037567,6.28140495158732,5.71845951490104,6.24843393452466,3.39807420969009,3.35161478724331,5.25665942579508,4.79024818865582,6.09763834858313,1.7409911705181,0.0202373508363962,1.74936076626182,3.56858361745253,8.00544348778203,3.20931134279817,8.35334944771603,7.94725894695148,4.04953165212646,9.8625886393711,9.46386895142496,9.33294769609347,2.29988313280046,6.69348826399073,4.57441149512306,6.12552511272952,3.28636498190463,7.59427732089534,0.348033981863409,3.19709931034595,1.3018761225976,5.57726303348318,7.68464985536411,4.90992003586143,3.89886609977111,7.2099950700067,4.71418900415301,1.26123273279518,5.93430377775803,8.84059422416613,3.20367941167206,9.89960639970377,3237.50080248404
2009,"S1","GO","LOC2","GEN14",82.1130055608228,76.4921665447764,3,3,1,6,7,5,22.2111750249751,31.3808010625653,14.4115086826496,943.768269568682,65.3571455483325,19.1785179220606,15.5420741555281,4.77146320184693,0.942456549964845,4.00913645979017,8.98350815987214,1.85777394566685,8.98832017323002,6.59742441028357,4.12285774480551,4.2400629655458,2.77072745608166,4.59754661191255,3.29911410110071,1.40309222508222,5.40029044961557,3.38982529239729,3.8291502580978,9.99148048926145,1.69358005281538,8.81857183063403,7.35037160338834,7.45943925809115,3.6447827424854,9.36479422962293,1.1545073823072,8.25934075983241,2.05104497261345,0.265264834742993,6.52283156756312,9.6638035774231,8.58450403669849,6.41864727484062,8.05663719307631,2.09780645789579,9.09599180798978,8.6107300943695,1.30930265411735,3.37283586617559,1.89561506500468,8.19468958536163,5.49726330675185,0.325876986607909,4275.99162824597
1987,"S1","TO","LOC10","GEN25",89.0887963608839,115.507683134638,3,7,2,4,7,7,27.0901919417083,36.2957747431938,20.2984359259717,429.23723757267,74.5631352066994,24.0526371663436,15.9001399949193,4.10852890950628,5.30644340906292,9.77268291870132,5.15306165674701,0.66104136640206,3.13489309744909,6.33359895320609,1.65455566952005,7.95041691977531,1.9026640127413,1.7435657675378,2.91751770302653,7.42877652868629,1.644319773186,3.05558294756338,4.1511475853622,6.55004172353074,3.45961730228737,6.7724266811274,9.36551413498819,4.17170232627541,4.69449015101418,7.27720310445875,6.11261060461402,0.549607654102147,5.50797691568732,3.59950105426833,6.19205988477916,0.565343634225428,7.99072105670348,6.73126393696293,5.5690923309885,3.41781761031598,2.16252582846209,8.79996229195967,6.64873641915619,3.24018989689648,2.04753005178645,2.95562934363261,8.07208094513044,1.01395618868992,3670.40903479275
1989,"S2","GO","LOC2","GEN2",107.975808370393,136.743968983646,8,2,8,5,3,8,24.4485110491514,32.5501307810191,16.3522084667347,1197.40214496851,64.7021393151954,20.0390191290062,21.1825134162791,5.68788108904846,9.36809399165213,5.12383570661768,0.287820354569703,6.29140142351389,9.57587547367439,2.41105681052431,3.73637991026044,1.07618279056624,5.23120433790609,7.21492428332567,5.27142954990268,3.35467755096033,2.88522500544786,7.38961702911183,4.92996623273939,9.94909939588979,7.25939674302936,7.17291452456266,9.12489438429475,7.31207281118259,6.66152338497341,6.6761758341454,5.46498417854309,4.42235930124298,7.35122577985749,9.26358475815505,3.88771565165371,4.12497743731365,1.53322029393166,8.67997924331576,9.70067419344559,1.11602928256616,1.551478728652,8.74259198550135,4.26501989597455,1.18258005473763,4.26297530764714,5.14649236574769,8.46816878998652,7.83821570919827,4062.88798219217
